Time to set up network: 3.6086730957
Node 35 transferred 1 to Node 80 (final dest: Node 59, left: 0)
Node 4 transferred 4 to Node 48 (final dest: Node 48, left: 2)
Node 37 transferred 1 to Node 21 (final dest: Node 21, left: 2)
Node 64 transferred 1 to Node 22 (final dest: Node 78, left: 1)
Node 74 transferred 8 to Node 6 (final dest: Node 7, left: 2)
Node 11 transferred 4 to Node 94 (final dest: Node 29, left: 1)
Node 73 transferred 1 to Node 11 (final dest: Node 44, left: 2)
Node 26 transferred 2 to Node 18 (final dest: Node 74, left: 0)
Node 30 transferred 2 to Node 16 (final dest: Node 45, left: 1)
Node 97 transferred 2 to Node 2 (final dest: Node 25, left: 0)
Node 17 transferred 1 to Node 45 (final dest: Node 58, left: 1)
Node 45 transferred 3 to Node 96 (final dest: Node 39, left: 1)
Node 23 transferred 2 to Node 50 (final dest: Node 31, left: 0)
Node 95 transferred 3 to Node 42 (final dest: Node 59, left: 0)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 8)
Node 54 transferred 6 to Node 22 (final dest: Node 44, left: 3)
Node 71 transferred 2 to Node 20 (final dest: Node 62, left: 0)
Node 80 transferred 5 to Node 35 (final dest: Node 63, left: 1)
Node 33 transferred 3 to Node 74 (final dest: Node 94, left: 0)
Node 44 transferred 2 to Node 34 (final dest: Node 10, left: 2)
Node 36 transferred 5 to Node 18 (final dest: Node 72, left: 2)
Node 46 transferred 6 to Node 97 (final dest: Node 76, left: 0)
Node 46 transferred 3 to Node 68 (final dest: Node 4, left: 0)
Node 42 transferred 9 to Node 15 (final dest: Node 33, left: 0)
Node 75 transferred 2 to Node 42 (final dest: Node 65, left: 8)
Node 89 transferred 1 to Node 20 (final dest: Node 72, left: 2)
Node 89 transferred 4 to Node 32 (final dest: Node 46, left: 2)
Node 76 transferred 4 to Node 44 (final dest: Node 35, left: 0)
Node 48 transferred 4 to Node 4 (final dest: Node 24, left: 2)
Node 63 transferred 4 to Node 54 (final dest: Node 36, left: 2)
Node 72 transferred 5 to Node 97 (final dest: Node 9, left: 4)
Node 52 transferred 3 to Node 67 (final dest: Node 65, left: 4)
Node 52 transferred 1 to Node 38 (final dest: Node 80, left: 2)
Node 58 transferred 7 to Node 73 (final dest: Node 63, left: 0)
Node 65 transferred 2 to Node 11 (final dest: Node 11, left: 0)
Node 86 transferred 7 to Node 65 (final dest: Node 79, left: 0)
Node 99 transferred 1 to Node 5 (final dest: Node 29, left: 0)
Node 96 transferred 1 to Node 45 (final dest: Node 65, left: 0)
Node 8 transferred 2 to Node 14 (final dest: Node 50, left: 1)
Node 10 transferred 1 to Node 71 (final dest: Node 37, left: 0)
Node 14 transferred 2 to Node 50 (final dest: Node 50, left: 1)
Node 20 transferred 1 to Node 89 (final dest: Node 35, left: 4)
Node 24 transferred 6 to Node 86 (final dest: Node 25, left: 0)
Node 41 transferred 4 to Node 42 (final dest: Node 58, left: 0)
Node 55 transferred 4 to Node 96 (final dest: Node 33, left: 5)
Node 66 transferred 3 to Node 42 (final dest: Node 55, left: 0)
Node 77 transferred 6 to Node 31 (final dest: Node 31, left: 0)
Node 77 transferred 4 to Node 80 (final dest: Node 41, left: 1)
Node 79 transferred 5 to Node 80 (final dest: Node 16, left: 2)
Node 92 transferred 1 to Node 55 (final dest: Node 31, left: 1)
Iteration: 0
Node 7 transferred 3 to Node 2 (final dest: Node 3, left: 2)
Node 2 transferred 1 to Node 61 (final dest: Node 25, left: 1)
Node 4 transferred 2 to Node 48 (final dest: Node 48, left: 0)
Node 37 transferred 1 to Node 21 (final dest: Node 21, left: 1)
Node 5 transferred 1 to Node 34 (final dest: Node 29, left: 0)
Node 64 transferred 1 to Node 22 (final dest: Node 78, left: 0)
Node 74 transferred 2 to Node 6 (final dest: Node 7, left: 0)
Node 74 transferred 3 to Node 68 (final dest: Node 94, left: 0)
Node 50 transferred 2 to Node 14 (final dest: Node 31, left: 0)
Node 11 transferred 1 to Node 94 (final dest: Node 29, left: 0)
Node 73 transferred 1 to Node 11 (final dest: Node 44, left: 1)
